300 1.55699	0.83649
772	0.18075	4.79349
773	0.18094	4.80047
774	0.18113	4.80745
775	0.18133	4.81442
776	0.18152	4.8214
777	0.18171	4.82837
778	0.1819	4.83535
779	0.18209	4.84232
780	0.18229	4.8493
781	0.18248	4.85627
782	0.18267	4.86325
783	0.18286	4.87022
784	0.18305	4.8772
785	0.18325	4.88418
786	0.18344	4.89115
787	0.18363	4.89813
788	0.18383	4.90508
789	0.18403	4.91204
790	0.18422	4.91899
791	0.18442	4.92595
792	0.18462	4.9329
793	0.18481	4.93986
794	0.18501	4.94682
795	0.18521	4.95377
796	0.1854	4.96073
797	0.1856	4.96768
798	0.18579	4.97464
799	0.18599	4.98159
800	0.18599	4.98855
